serving_size,serving_count,calories,calories_pdv,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,total_sugars,added_sugars,protein,vitamin_d,vitamin_a,vitamin_c,calcium,iron,potassium,total_fat_pdv,saturated_fat_pdv,trans_fat_pdv,cholesterol_pdv,sodium_pdv,total_carbohydrate_pdv,dietary_fiber_pdv,total_sugars_pdv,added_sugars_pdv,protein_pdv,vitamin_d_pdv,vitamin_a_pdv,vitamin_c_pdv,calcium_pdv,iron_pdv,potassium_pdv,item_id
,,180.0,,7 g,4 g,0 g,25 mg,70 mg,27 g,2 g,14 g,,2 g,0.05 µg,58.33 µg,0.0 mg,20.64 mg,0.61 mg,49.4 mg,9,21,,8,3,10,6,27,,5,0,6,0,2,3,1,13
,,90.0,,6 g,0.5 g,0 g,0 mg,45 mg,10 g,4 g,2 g,,5 g,0.0 µg,539.36 µg,129.46 mg,163.86 mg,1.64 mg,535.28 mg,7,4,,0,2,4,14,5,,9,0,60,144,13,9,11,10
1.63 ea (46 g),,130.0,,10 g,4 g,0 g,0 mg,210 mg,1 g,1 g,0 g,,9 g,0.0 µg,0.0 µg,0.0 mg,30.04 mg,1.6 mg,140.01 mg,13,20,,0,9,0,4,,,18,0,0,0,2,9,3,12
,,70.0,,2 g,0 g,0 g,0 mg,45 mg,13 g,2 g,3 g,,1 g,0.0 µg,433.26 µg,1.5 mg,21.16 mg,0.5 mg,216.13 mg,3,1,,0,2,5,7,5,,2,0,48,2,2,3,5,9
113 g,,0.0,,0 g,0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,,0 g,0.0 µg,0.0 µg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,1
173 g,,290.0,,25 g,4.5 g,0 g,225 mg,105 mg,6 g,1 g,2 g,,9 g,0.0 µg,34.31 µg,23.89 mg,40.97 mg,1.47 mg,250.45 mg,32,23,,75,5,2,5,,,18,0,4,27,3,8,5,7
173 g,,290.0,,27 g,3 g,0 g,0 mg,180 mg,7 g,2 g,3 g,,6 g,0.0 µg,41.69 µg,29.03 mg,269.95 mg,1.11 mg,304.38 mg,34,16,,0,8,3,6,5,,11,0,5,32,21,6,6,8
19 g,,240.0,,23 g,8 g,0 g,40 mg,380 mg,0 g,0 g,0 g,,7 g,0.23 µg,6.4 µg,0.0 mg,2.91 mg,0.24 mg,115.14 mg,30,39,,13,17,0,0,1,,15,1,1,0,0,1,2,11
113 g,,140.0,,3 g,0 g,0 g,0 mg,140 mg,20 g,4 g,1 g,,8 g,0.0 µg,89.58 µg,8.1 mg,43.57 mg,2.64 mg,221.31 mg,4,2,,0,6,7,15,2,,16,0,10,9,3,15,5,3
,,90.0,,5 g,0.5 g,0 g,0 mg,75 mg,9 g,3 g,2 g,,4 g,0.0 µg,40.89 µg,117.51 mg,62.81 mg,1.0 mg,418.89 mg,7,4,,0,3,3,12,5,,7,0,5,131,5,6,9,4
